                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.829,                 33.015,                 1.5562,                0.29048,                0.16745,                0.14219,                0.04193,                      0,                    inf,                      0,               0.070059,              0.0033268,              0.0033268
                      1,                 3.3188,                0.07893,                 1.0142,                0.45836,                0.26793,                0.25321,                0.08809,                      0,                    inf,                      0,               0.039839,              0.0064404,              0.0064404
                      2,                  2.957,                0.06903,                0.97541,                0.52256,                0.29896,                 0.2973,                0.11751,                      0,                    inf,                      0,               0.009399,              0.0093339,              0.0093339
                      3,                 2.7395,                0.06396,                0.95125,                0.58018,                0.34573,                0.36414,                0.15486,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      4,                  2.606,                0.06077,                0.93365,                0.59285,                0.36221,                0.38777,                0.16872,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      5,                 2.5207,                0.05903,                0.92456,                0.60655,                0.37161,                0.40094,                0.17781,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                      6,                 2.4647,                0.05759,                0.91673,                0.62598,                0.38466,                0.41487,                0.18775,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                      7,                 2.4015,                0.05639,                0.91191,                 0.6309,                0.39543,                0.42635,                0.19619,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      8,                  2.372,                0.05571,                0.90874,                 0.6355,                0.39958,                  0.438,                0.19985,                      0,                    inf,                      0,                0.00769,                0.00769,                0.00769
                      9,                 2.3295,                0.05477,                0.90203,                 0.6463,                0.40369,                0.43741,                0.20472,                      0,                    inf,                      0,                0.00736,                0.00736,                0.00736
                     10,                 2.3126,                0.05453,                0.89941,                0.65352,                0.41251,                0.45086,                0.21319,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     11,                 2.2757,                 0.0536,                0.89514,                0.66726,                0.41713,                0.46873,                0.22375,                      0,                    inf,                      0,                 0.0067,                 0.0067,                 0.0067
                     12,                 2.2563,                0.05318,                0.89439,                 0.6682,                0.42497,                0.47908,                0.23003,                      0,                    inf,                      0,                0.00637,                0.00637,                0.00637
                     13,                 2.2347,                 0.0528,                0.89194,                0.66368,                0.42073,                0.48186,                0.23176,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     14,                 2.2196,                0.05245,                0.88877,                0.68054,                0.42709,                0.49234,                0.24033,                      0,                    inf,                      0,                0.00571,                0.00571,                0.00571
                     15,                 2.2042,                0.05212,                0.88753,                0.67612,                0.42716,                0.47919,                0.23164,                      0,                    inf,                      0,                0.00538,                0.00538,                0.00538
                     16,                 2.1841,                 0.0517,                0.88483,                0.67769,                0.43355,                 0.4961,                  0.245,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     17,                  2.178,                0.05157,                0.88332,                0.68713,                0.43221,                0.50646,                0.25067,                      0,                    inf,                      0,                0.00472,                0.00472,                0.00472
                     18,                 2.1625,                0.05128,                0.88067,                0.68255,                0.43845,                0.50767,                0.25085,                      0,                    inf,                      0,                0.00439,                0.00439,                0.00439
                     19,                 2.1438,                0.05088,                0.88068,                 0.6886,                 0.4385,                0.50749,                0.25198,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     20,                 2.0638,                0.05016,                0.88658,                0.68476,                  0.439,                0.48245,                0.23589,                      0,                    inf,                      0,                0.00373,                0.00373,                0.00373
                     21,                 2.0471,                0.04947,                 0.8839,                0.68887,                0.44313,                0.49604,                0.24565,                      0,                    inf,                      0,                 0.0034,                 0.0034,                 0.0034
                     22,                 2.0323,                0.04905,                0.88209,                0.69131,                0.44367,                0.49917,                 0.2459,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     23,                 2.0231,                0.04874,                0.88054,                0.69176,                0.44585,                0.50743,                 0.2524,                      0,                    inf,                      0,                0.00274,                0.00274,                0.00274
                     24,                 2.0086,                0.04836,                0.87936,                0.69828,                0.44782,                 0.5026,                0.25015,                      0,                    inf,                      0,                0.00241,                0.00241,                0.00241
                     25,                 2.0019,                0.04815,                0.87746,                0.68945,                0.44799,                0.50938,                 0.2549,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     26,                  1.995,                  0.048,                0.87638,                0.69701,                0.45057,                0.51181,                0.25739,                      0,                    inf,                      0,                0.00175,                0.00175,                0.00175
                     27,                 1.9836,                 0.0477,                0.87427,                 0.6932,                0.45005,                 0.5064,                0.25382,                      0,                    inf,                      0,                0.00142,                0.00142,                0.00142
                     28,                 1.9751,                0.04746,                0.87374,                0.69649,                0.45109,                0.51144,                0.25763,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     29,                 1.9691,                0.04733,                0.87275,                0.70062,                0.45263,                 0.5131,                0.25919,                      0,                    inf,                      0,                0.00076,                0.00076,                0.00076
